Data Information

Title: multiple
Data:  multiple

Data Type: ........... multivariate
Generalized Data Type: multivariate

Frequency Data: No
CrossTab Data:  No
Missing Values: No

Number of Observations = 198
Number of Variables    = 12

_________________________________

Data Listing

                     VARIABLES
                     most_active      second_active       third_active      fourth_active       fifth_active        dow_average       first_change      second_change       third_change      fourth_change       fifth_change         dow_change 
OBSERVATIONS             Numeric            Numeric            Numeric            Numeric            Numeric            Numeric            Numeric            Numeric            Numeric            Numeric            Numeric            Numeric 
Obs1                 -5820600000        -5029000000         -399600000        -1679258000        -4808100000        44203481000         -523200000         2675000000         5494500000          -94164000        -7548600000        81514571000
Obs2                  9679200000         3210000000         6393600000          361900000          572831000        69408724000        15499800000         8239000000         6793200000         2041158000         5380931000        25205243000
Obs3                  5493600000         9190800000         9416000000         7341400000         1647000000       -26348057000        -4185600000         5980800000         3022400000         6979500000         1074169000       -95756781000
Obs4                 -4970400000        -7918000000        -2597400000         1814400000        -2533300000       -55566861000       -10464000000       -17108800000       -12013400000        -5527000000        -4180300000       -29218804000
Obs5                 -2092800000         -535000000       -10789200000         -808241000        -4291100000      -101649725000         2877600000         7383000000        -8191800000        -2622641000        -1757800000       -46082864000
Obs6                 -9483000000        -7704000000       -13186800000        -4859800000        -4233600000        28877044000        -7390200000        -7169000000        -2397600000        -4051559000           57500000       130526769000
Obs7                  9875400000         4601000000         5394600000         4136000000        -4613400000       -41329434000        19358400000        12305000000        18581400000         8995800000         -379800000       -70206478000
Obs8                 -5232000000         4795200000        -8025000000         -629100000          635607000        21564942000       -15107400000          194200000       -13419600000        -4765100000         5249007000        62894376000
Obs9                  6997800000         2247000000        -2297700000          908700000        -2274600000        -9595018000        12229800000        -2548200000         5727300000         1537800000        -2910207000       -31159960000
Obs10                -1242600000         -321000000         2297700000          517000000          209700000       -40420477000        -8240400000        -2568000000         4595400000         -391700000         2484300000       -30825459000
Obs11                  915600000        -2782000000        -1498500000        -3153700000       -12028600000       -48123363000         2158200000        -2461000000        -3796200000        -3670700000       -12238300000        -7702886000
Obs12                 -457800000        -5136000000        -3496500000        -1189100000         2664200000       -47995159000        -1373400000        -2354000000        -1998000000         1964600000        14692800000          128204000
Obs13                 -327000000        -1712000000         1009800000        -5694300000        -8228700000       -66159712000          130800000         3424000000         4506300000        -4505200000       -10892900000       -18164553000
Obs14                -7704000000        -1308000000        -6927800000        -8191800000       -14049000000       -61256481000        -7377000000          404000000        -7937600000        -2497500000        -5820300000         4903231000
Obs15               -17784800000       -18511000000        -3793200000       -11488500000        -6820000000       208935616000       -10080800000       -17203000000         3134600000        -3296700000         7229000000       270192097000
Obs16                23861000000        19180700000         9417600000        22877100000         8200000000        -9131973000        41645800000        37691700000        13210800000        34365600000        15020000000      -218067589000
Obs17               -13910000000        -5101200000          465300000          499500000        -2680000000        40327150000       -37771000000       -24281900000        -8952300000       -22377600000       -10880000000        49459123000
Obs18                 8560000000          850200000         7292700000         5170000000        -1820000000        79210160000        22470000000         5951400000         6827400000         4670500000          860000000        38883010000
Obs19                 7490000000         3597000000        15184800000         5273400000         1812657000        28751307000        -1070000000         2746800000         7892100000          103400000         3632657000       -50458853000
Obs20                 2889000000         2616000000        15684300000         4497900000         1443848000        32137253000        -4601000000         -981000000          499500000         -775500000         -368809000         3385946000
Obs21                 -850200000         1926000000         5794200000        -1240800000          470820000       -69855939000        -3739200000         -690000000        -9890100000        -5738700000         -973028000      -101993192000
Obs22                -7521000000        -9737000000        -6893100000        -3308800000       -10570200000       -53460333000        -6670800000       -11663000000       -12687300000        -2068000000       -11041020000        16395606000
Obs23                -5559000000        -5885000000       -13186800000          306000000        -4911500000       -76897583000         1962000000         3852000000        -6293700000         3614800000         5658700000       -23437250000
Obs24                -5232000000        -1605000000       -10289700000        -6204000000        -3123106000        24368415000          327000000         4280000000         2897100000        -6510000000         1788394000       101265998000
